item,quantity,note
3/4 in 4 x 8 birch plywood,10 sheets,See docs/v1-sheet-nesting.md; verify raw dimensions and use a main-panel separating kerf no greater than 2.4 mm
"Escape 3-hole screw-in T-nuts, 3/8-16",200,142 positions plus spares; selected 7/16 in bore
3/8-16 hold bolts,142 minimum plus spares,Length mix must match final hold set
MoonBoard LED System,1,SKU 60-201-V5; supplied kit guide controls installation
3/8 in Grade-5 structural through-bolts,8 x 10 in; 8 x 4 in,10 in for leg-to-outer-rail stacks; 4 in for knee plate-to-leg stacks; verify actual washer/nut stack and thread engagement
3/8 in x 1.5 in fender washers,32,Two washers per provisional structural bolt
3/8 in nyloc nuts,16,One per provisional structural bolt
#10 x 3.25 in structural wood screws,40,"Two rear-installed screws per bearing block; verify actual head, pilot, and 10.55 mm panel embedment on an offcut"
Lamination adhesive,unresolved,"Select compatible product, cure, and clamping schedule after review"
Feet / anti-slip / floor protection,unresolved,Required for unanchored installation
