part,feature,label,x_from_left_mm,z_from_bottom_mm,diameter_mm,datum
main_lower_left,T-nut,A1,200.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,A2,200.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,A3,200.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,A4,200.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,A5,200.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,A6,200.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B1,400.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B2,400.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B3,400.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B4,400.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B5,400.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,B6,400.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C1,600.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C2,600.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C3,600.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C4,600.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C5,600.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,C6,600.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D1,800.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D2,800.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D3,800.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D4,800.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D5,800.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,D6,800.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E1,1000.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E2,1000.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E3,1000.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E4,1000.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E5,1000.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,E6,1000.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F1,1200.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F2,1200.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F3,1200.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F4,1200.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F5,1200.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,T-nut,F6,1200.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_left,LED,A2,200.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,A3,200.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,A4,200.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,A5,200.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,A6,200.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,A7,200.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B2,400.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B3,400.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B4,400.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B5,400.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B6,400.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,B7,400.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C2,600.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C3,600.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C4,600.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C5,600.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C6,600.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,C7,600.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D2,800.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D3,800.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D4,800.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D5,800.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D6,800.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,D7,800.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E2,1000.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E3,1000.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E4,1000.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E5,1000.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E6,1000.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,E7,1000.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F2,1200.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F3,1200.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F4,1200.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F5,1200.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F6,1200.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_left,LED,F7,1200.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,T-nut,G1,180.800,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,G2,180.800,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,G3,180.800,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,G4,180.800,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,G5,180.800,880.000,11.112,"finished blank lower-left, climbing face"
